isManSeparate,subjectSeparate,rating2,rating2_Person
1,1,1.95,5
1,1,2.966666667,2
1,1,2.966666667,9
1,1,2.966666667,4
1,1,2.966666667,8
1,1,2.966666667,10
1,1,2.966666667,6
1,1,2.966666667,3
1,1,2.966666667,7
1,1,2.966666667,1
1,1,2,5
1,1,2.005555556,2
1,1,2.016666667,9
1,1,2.033333333,4
1,1,2.038888889,8
1,1,2.038888889,10
1,1,2.044444444,6
1,1,2.044444444,3
1,1,2.044444444,7
1,1,2.044444444,1
0,2,2.6,5
0,2,3.977778117,2
0,2,5.027778117,9
0,2,3.55,4
0,2,5.627778117,8
0,2,6,10
0,2,6.172222392,6
0,2,3.738889058,3
0,2,2.261111196,7
0,2,3.955555725,1
0,2,3.288889058,5
0,2,4.616666667,2
0,2,5.372222392,9
0,2,5.994444784,4
0,2,4.577778117,8
0,2,6.455555725,10
0,2,6.972222392,6
0,2,3.722222392,3
0,2,3.205555725,7
0,2,4.55,1
0,3,4.006638903,5
0,3,4.006638903,2
0,3,4.006638903,9
0,3,4.006638903,4
0,3,4.006638903,8
0,3,4.006638903,10
0,3,4.006638903,6
0,3,4.006638903,3
0,3,4.006638903,7
0,3,4.006638903,1
0,3,4.006638903,5
0,3,3.993361097,2
0,3,3.993361097,9
0,3,3.993361097,4
0,3,3.993361097,8
0,3,3.993361097,10
0,3,3.993361097,6
0,3,3.993361097,3
0,3,3.993361097,7
0,3,3.993361097,1
1,4,3.366666667,5
1,4,2.533333333,2
1,4,6.394444444,9
1,4,4.05,4
1,4,5.238888889,8
1,4,3.311111111,10
1,4,5.805555556,6
1,4,6.122222222,3
1,4,4.355555556,7
1,4,4.938888889,1
1,4,4.333333333,5
1,4,3.444444444,2
1,4,4.716666667,9
1,4,3.988888889,4
1,4,5.494444444,8
1,4,3.477777778,10
1,4,4.327777778,6
1,4,6.188888889,3
1,4,2.816666667,7
1,4,3.283333333,1
1,5,2.997758789,5
1,5,6.984799805,2
1,5,3.020826009,9
1,5,4.00666626,4
1,5,3.019598389,8
1,5,5.004655762,10
1,5,2.999388021,6
1,5,4.994601644,3
1,5,3.013269043,7
1,5,5.993850098,1
1,5,3.494243978,5
1,5,6.018690592,2
1,5,3.004067383,9
1,5,5.505871582,4
1,5,4.49279541,8
1,5,4.528245443,10
1,5,2.530537313,6
1,5,5.00787679,3
1,5,1.009034831,7
1,5,5.503487142,1
1,6,4.5546875,5
1,6,4.15625,2
1,6,5.015625,9
1,6,3.6484375,4
1,6,4.6328125,8
1,6,5.0078125,10
1,6,5.0078125,6
1,6,5.0078125,3
1,6,4.0234375,7
1,6,4.6171875,1
1,6,3.984375,5
1,6,3.984375,2
1,6,4.6015625,9
1,6,4.4609375,4
1,6,4.015625,8
1,6,4.015625,10
1,6,4.4765625,6
1,6,4.25,3
1,6,3.984375,7
1,6,3.984375,1
0,7,4.005555556,5
0,7,4.011111111,2
0,7,4.055555556,9
0,7,4.427777778,4
0,7,3.994444444,8
0,7,3.994444444,10
0,7,3.994444444,6
0,7,3.994444444,3
0,7,3.994444444,7
0,7,3.994444444,1
0,7,4,5
0,7,4.977777778,2
0,7,3.994444444,9
0,7,4.022222222,4
0,7,3.966666667,8
0,7,3.988888889,10
0,7,3.988888889,6
0,7,3.988888889,3
0,7,3.988888889,7
0,7,3.988888889,1
0,8,4.985545335,5
0,8,5.963206307,2
0,8,6.720105125,9
0,8,4.126149803,4
0,8,6.073587385,8
0,8,6.893561104,10
0,8,4.946123522,6
0,8,2.982917214,3
0,8,5.056504599,7
0,8,6.002628121,1
0,8,2.967148489,5
0,8,4.906701708,2
0,8,6.049934297,9
0,8,3.952693824,4
0,8,6.94086728,8
0,8,5.947437582,10
0,8,3.952693824,6
0,8,4.930354796,3
0,8,5.939553219,7
0,8,2.990801577,1
0,9,4.811145511,5
0,9,3.448916409,2
0,9,5.653250774,9
0,9,4.835913313,4
0,9,5.504643963,8
0,9,5.919504644,10
0,9,6.513931889,6
0,9,5.764705882,3
0,9,2.513931889,7
0,9,3.808049536,1
0,9,4.018575851,5
0,9,3.300309598,2
0,9,4.817337461,9
0,9,3.659442724,4
0,9,5.176470588,8
0,9,5.845201238,10
0,9,6.210526316,6
0,9,3.294117647,3
0,9,1.770897833,7
0,9,2.92879257,1
0,10,5.219741481,5
0,10,6.982373678,2
0,10,4,9
0,10,5.790834313,4
0,10,4.084606345,8
0,10,4.705052879,10
0,10,2.737955347,6
0,10,6.509988249,3
0,10,5.938895417,7
0,10,6.608695652,1
0,10,5.854289072,5
0,10,6.989424207,2
0,10,5.015276146,9
0,10,6.876615746,4
0,10,4.324324324,8
0,10,4.528789659,10
0,10,5.903642773,6
0,10,6.947121034,3
0,10,3.280846063,7
0,10,6.665099882,1
0,11,5.03790919,5
0,11,5.946297963,2
0,11,4.977924347,9
0,11,4.005070368,4
0,11,4.955014547,8
0,11,4.021656036,10
0,11,4.021656036,6
0,11,5.043888092,3
0,11,4.960570017,7
0,11,4.975484848,1
0,11,4.949041367,5
0,11,5.938618978,2
0,11,5.085253398,9
0,11,4.992643356,4
0,11,4.013571421,8
0,11,4.995363235,10
0,11,3.083134333,6
0,11,2.934855143,3
0,11,3.972776095,7
0,11,4.90611585,1
0,12,4.046666667,5
0,12,5.926666667,2
0,12,5.033333333,9
0,12,3.053333333,4
0,12,2.106666667,8
0,12,2.106666667,10
0,12,1.766666667,6
0,12,3.973333333,3
0,12,3.973333333,7
0,12,5.026666667,1
0,12,5.946666667,5
0,12,5.946666667,2
0,12,4.34,9
0,12,4.866666667,4
0,12,3.566666667,8
0,12,3.18,10
0,12,4.38,6
0,12,5.5,3
0,12,2.573333333,7
0,12,5.153333333,1
1,13,4.583333333,5
1,13,4.561111111,2
1,13,5.527777778,9
1,13,5.511111111,4
1,13,5.483333333,8
1,13,5.483333333,10
1,13,5.483333333,6
1,13,5.483333333,3
1,13,5.477777778,7
1,13,4.883333333,1
1,13,2.583333333,5
1,13,5.4,2
1,13,5.4,9
1,13,5.394444444,4
1,13,5.394444444,8
1,13,5.394444444,10
1,13,5.394444444,6
1,13,2.716666667,3
1,13,2.716666667,7
1,13,2.561111111,1
0,14,4.355987055,5
0,14,4.563106796,2
0,14,5.514563107,9
0,14,2.925566343,4
0,14,3.773462783,8
0,14,5.28802589,10
0,14,4.763754045,6
0,14,3.954692557,3
0,14,3.954692557,7
0,14,3.954692557,1
0,14,5.501618123,5
0,14,2.368932039,2
