choice,subject,groupAI
1,1,0
1,1,0
1,1,0
6,1,0
1,1,0
1,1,0
2,1,0
4,1,0
3,1,0
1,1,0
1,1,0
1,1,0
1,1,0
6,1,0
1,1,0
1,1,0
1,1,0
1,1,0
4,1,0
1,1,0
6,1,0
1,1,0
1,1,0
4,1,0
3,1,0
1,1,0
1,1,0
3,1,0
2,1,0
1,1,0
4,1,0
3,1,0
1,1,0
3,1,0
4,1,0
6,1,0
1,1,0
1,1,0
1,1,0
3,1,0
3,1,0
4,1,0
3,1,0
3,1,0
3,1,0
3,1,0
4,1,0
3,1,0
3,1,0
3,1,0
2,1,0
4,1,0
2,1,0
3,1,0
3,1,0
4,1,0
3,1,0
2,1,0
4,1,0
3,1,0
1,1,0
3,1,0
2,1,0
3,1,0
3,1,0
3,1,0
3,1,0
1,1,0
1,1,0
3,1,0
4,1,0
3,1,0
4,1,0
3,1,0
3,1,0
3,1,0
1,1,0
2,1,0
3,1,0
1,1,0
3,1,0
6,1,0
4,1,0
3,1,0
1,1,0
3,1,0
1,1,0
1,1,0
4,1,0
4,1,0
3,1,0
3,1,0
2,1,0
3,1,0
3,1,0
3,1,0
6,1,0
1,1,0
3,1,0
3,1,0
4,2,0
1,2,0
2,2,0
4,2,0
2,2,0
2,2,0
5,2,0
1,2,0
2,2,0
2,2,0
2,2,0
1,2,0
4,2,0
4,2,0
1,2,0
4,2,0
2,2,0
2,2,0
1,2,0
2,2,0
1,2,0
1,2,0
1,2,0
2,2,0
1,2,0
2,2,0
2,2,0
2,2,0
1,2,0
1,2,0
2,2,0
2,2,0
1,2,0
1,2,0
3,2,0
2,2,0
1,2,0
4,2,0
2,2,0
2,2,0
3,2,0
1,2,0
1,2,0
2,2,0
2,2,0
3,2,0
2,2,0
1,2,0
4,2,0
3,2,0
4,2,0
1,2,0
2,2,0
1,2,0
2,2,0
3,2,0
1,2,0
3,2,0
3,2,0
1,2,0
3,2,0
3,2,0
4,2,0
4,2,0
1,2,0
2,2,0
2,2,0
3,2,0
2,2,0
1,2,0
3,2,0
3,2,0
3,2,0
2,2,0
1,2,0
1,2,0
1,2,0
1,2,0
2,2,0
1,2,0
1,2,0
3,2,0
1,2,0
4,2,0
3,2,0
2,2,0
3,2,0
1,2,0
3,2,0
4,2,0
3,2,0
2,2,0
2,2,0
3,2,0
1,2,0
1,2,0
1,2,0
2,2,0
4,2,0
1,2,0
3,3,0
5,3,0
3,3,0
3,3,0
6,3,0
4,3,0
4,3,0
2,3,0
4,3,0
5,3,0
1,3,0
6,3,0
1,3,0
1,3,0
2,3,0
1,3,0
4,3,0
2,3,0
2,3,0
3,3,0
1,3,0
4,3,0
6,3,0
1,3,0
3,3,0
2,3,0
1,3,0
6,3,0
6,3,0
1,3,0
4,3,0
2,3,0
3,3,0
3,3,0
2,3,0
1,3,0
4,3,0
1,3,0
1,3,0
3,3,0
4,3,0
5,3,0
6,3,0
4,3,0
1,3,0
1,3,0
4,3,0
2,3,0
1,3,0
3,3,0
4,3,0
4,3,0
1,3,0
4,3,0
1,3,0
4,3,0
4,3,0
3,3,0
1,3,0
2,3,0
4,3,0
3,3,0
4,3,0
1,3,0
3,3,0
6,3,0
1,3,0
5,3,0
2,3,0
1,3,0
1,3,0
4,3,0
1,3,0
4,3,0
1,3,0
1,3,0
3,3,0
1,3,0
1,3,0
1,3,0
1,3,0
1,3,0
2,3,0
2,3,0
4,3,0
1,3,0
2,3,0
1,3,0
4,3,0
1,3,0
1,3,0
1,3,0
1,3,0
6,3,0
6,3,0
3,3,0
3,3,0
4,3,0
3,3,0
6,3,0
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
2,4,1
1,4,1
2,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
2,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
2,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
2,4,1
1,4,1
2,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
2,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
2,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
1,4,1
4,5,0
1,5,0
5,5,0
6,5,0
3,5,0
1,5,0
4,5,0
4,5,0
3,5,0
3,5,0
6,5,0
3,5,0
5,5,0
5,5,0
6,5,0
6,5,0
6,5,0
6,5,0
6,5,0
2,5,0
4,5,0
4,5,0
4,5,0
3,5,0
6,5,0
6,5,0
4,5,0
6,5,0
5,5,0
4,5,0
1,5,0
2,5,0
6,5,0
1,5,0
4,5,0
1,5,0
3,5,0
3,5,0
6,5,0
6,5,0
3,5,0
4,5,0
3,5,0
4,5,0
6,5,0
4,5,0
2,5,0
3,5,0
4,5,0
4,5,0
4,5,0
4,5,0
6,5,0
4,5,0
6,5,0
6,5,0
6,5,0
5,5,0
6,5,0
6,5,0
2,5,0
4,5,0
4,5,0
6,5,0
4,5,0
3,5,0
6,5,0
4,5,0
4,5,0
2,5,0
1,5,0
6,5,0
6,5,0
4,5,0
6,5,0
6,5,0
6,5,0
6,5,0
4,5,0
6,5,0
4,5,0
4,5,0
4,5,0
2,5,0
6,5,0
2,5,0
6,5,0
6,5,0
1,5,0
1,5,0
3,5,0
6,5,0
1,5,0
6,5,0
2,5,0
1,5,0
3,5,0
3,5,0
4,5,0
3,5,0
4,6,1
1,6,1
1,6,1
1,6,1
2,6,1
1,6,1
4,6,1
1,6,1
2,6,1
4,6,1
4,6,1
4,6,1
1,6,1
1,6,1
1,6,1
1,6,1
2,6,1
1,6,1
6,6,1
1,6,1
1,6,1
2,6,1
1,6,1
1,6,1
1,6,1
1,6,1
1,6,1
4,6,1
6,6,1
4,6,1
1,6,1
2,6,1
1,6,1
6,6,1
1,6,1
1,6,1
6,6,1
4,6,1
1,6,1
2,6,1
2,6,1
1,6,1
2,6,1
4,6,1
1,6,1
1,6,1
1,6,1
4,6,1
1,6,1
2,6,1
1,6,1
2,6,1
1,6,1
1,6,1
1,6,1
1,6,1
4,6,1
6,6,1
6,6,1
1,6,1
1,6,1
1,6,1
4,6,1
1,6,1
1,6,1
1,6,1
1,6,1
1,6,1
1,6,1
1,6,1
1,6,1
2,6,1
6,6,1
4,6,1
6,6,1
1,6,1
6,6,1
1,6,1
1,6,1
1,6,1
2,6,1
2,6,1
2,6,1
1,6,1
1,6,1
1,6,1
4,6,1
3,6,1
1,6,1
4,6,1
1,6,1
4,6,1
2,6,1
4,6,1
1,6,1
2,6,1
1,6,1
1,6,1
2,6,1
1,6,1
4,7,0
4,7,0
1,7,0
3,7,0
4,7,0
2,7,0
4,7,0
2,7,0
4,7,0
2,7,0
3,7,0
2,7,0
2,7,0
4,7,0
2,7,0
2,7,0
4,7,0
2,7,0
4,7,0
4,7,0
1,7,0
2,7,0
4,7,0
4,7,0
4,7,0
1,7,0
2,7,0
4,7,0
4,7,0
4,7,0
2,7,0
4,7,0
4,7,0
2,7,0
4,7,0
4,7,0
2,7,0
4,7,0
1,7,0
2,7,0
1,7,0
4,7,0
4,7,0
1,7,0
2,7,0
4,7,0
4,7,0
1,7,0
2,7,0
4,7,0
1,7,0
4,7,0
2,7,0
2,7,0
2,7,0
1,7,0
4,7,0
2,7,0
2,7,0
2,7,0
2,7,0
2,7,0
2,7,0
2,7,0
2,7,0
1,7,0
4,7,0
4,7,0
2,7,0
2,7,0
2,7,0
4,7,0
2,7,0
4,7,0
2,7,0
2,7,0
2,7,0
1,7,0
4,7,0
2,7,0
2,7,0
2,7,0
1,7,0
2,7,0
4,7,0
1,7,0
1,7,0
2,7,0
2,7,0
2,7,0
1,7,0
1,7,0
2,7,0
2,7,0
1,7,0
2,7,0
2,7,0
2,7,0
2,7,0
2,7,0
2,8,1
3,8,1
2,8,1
4,8,1
2,8,1
4,8,1
2,8,1
2,8,1
3,8,1
2,8,1
3,8,1
3,8,1
2,8,1
6,8,1
2,8,1
1,8,1
1,8,1
2,8,1
2,8,1
3,8,1
3,8,1
3,8,1
2,8,1
2,8,1
2,8,1
6,8,1
3,8,1
2,8,1
3,8,1
3,8,1
3,8,1
3,8,1
4,8,1
2,8,1
3,8,1
3,8,1
2,8,1
4,8,1
1,8,1
4,8,1
2,8,1
1,8,1
4,8,1
3,8,1
1,8,1
2,8,1
1,8,1
1,8,1
3,8,1
3,8,1
4,8,1
4,8,1
1,8,1
4,8,1
3,8,1
4,8,1
3,8,1
2,8,1
3,8,1
1,8,1
2,8,1
3,8,1
1,8,1
3,8,1
3,8,1
3,8,1
2,8,1
3,8,1
2,8,1
1,8,1
4,8,1
3,8,1
4,8,1
3,8,1
1,8,1
3,8,1
1,8,1
1,8,1
3,8,1
2,8,1
3,8,1
3,8,1
3,8,1
3,8,1
3,8,1
1,8,1
2,8,1
1,8,1
1,8,1
1,8,1
2,8,1
1,8,1
4,8,1
3,8,1
3,8,1
3,8,1
2,8,1
1,8,1
1,8,1
4,8,1
5,9,1
1,9,1
1,9,1
6,9,1
1,9,1
1,9,1
1,9,1
2,9,1
1,9,1
5,9,1
1,9,1
1,9,1
3,9,1
1,9,1
1,9,1
2,9,1
3,9,1
5,9,1
1,9,1
1,9,1
1,9,1
1,9,1
2,9,1
1,9,1
1,9,1
1,9,1
5,9,1
1,9,1
1,9,1
1,9,1
2,9,1
1,9,1
1,9,1
3,9,1
2,9,1
5,9,1
1,9,1
5,9,1
1,9,1
2,9,1
1,9,1
3,9,1
1,9,1
1,9,1
3,9,1
4,9,1
1,9,1
1,9,1
3,9,1
1,9,1
3,9,1
3,9,1
3,9,1
5,9,1
1,9,1
1,9,1
1,9,1
1,9,1
3,9,1
2,9,1
3,9,1
2,9,1
5,9,1
3,9,1
1,9,1
2,9,1
3,9,1
1,9,1
1,9,1
1,9,1
1,9,1
5,9,1
5,9,1
1,9,1
1,9,1
1,9,1
3,9,1
3,9,1
3,9,1
1,9,1
3,9,1
3,9,1
1,9,1
2,9,1
3,9,1
3,9,1
1,9,1
3,9,1
5,9,1
1,9,1
3,9,1
2,9,1
2,9,1
3,9,1
3,9,1
2,9,1
1,9,1
1,9,1
1,9,1
3,9,1
1,10,1
1,10,1
1,10,1
4,10,1
4,10,1
1,10,1
2,10,1
4,10,1
1,10,1
4,10,1
4,10,1
1,10,1
4,10,1
2,10,1
4,10,1
1,10,1
1,10,1
2,10,1
1,10,1
3,10,1
3,10,1
4,10,1
2,10,1
2,10,1
4,10,1
4,10,1
3,10,1
4,10,1
2,10,1
3,10,1
3,10,1
4,10,1
3,10,1
2,10,1
2,10,1
2,10,1
2,10,1
4,10,1
4,10,1
3,10,1
1,10,1
1,10,1
3,10,1
3,10,1
1,10,1
1,10,1
2,10,1
2,10,1
1,10,1
1,10,1
3,10,1
4,10,1
4,10,1
4,10,1
2,10,1
1,10,1
4,10,1
4,10,1
1,10,1
