subject,evidence1,evidence2,evidence3,evidence4,evidence5,evidence6,evidence7,evidence8,evidence9,evidence10,evidence11,evidence12,meanSamples,responseOtherInd,responseOtherSad,responseSad
3,33,5,8,31,5,35,33,49,31,16,15,43,25.33333333,46,1,NaN
3,22,13,16,19,9,13,4,23,11,42,1,16,15.75,15,0,NaN
3,26,12,2,21,35,38,40,33,24,23,14,20,24,11,1,NaN
3,33,50,16,47,19,5,20,38,4,36,20,19,25.58333333,4,0,NaN
3,25,49,23,32,27,2,44,20,22,2,17,2,22.08333333,37,0,NaN
3,49,15,46,17,21,30,14,42,28,32,30,38,30.16666667,23,0,NaN
3,25,39,49,30,16,13,11,18,27,28,37,31,27,11,1,NaN
3,43,43,12,6,12,6,22,37,21,26,36,3,22.25,30,1,NaN
3,34,49,45,33,31,12,50,46,18,49,35,34,36.33333333,43,1,NaN
3,14,4,21,28,22,5,18,37,36,33,48,39,25.41666667,33,0,NaN
3,48,32,10,17,9,23,29,22,7,48,40,6,24.25,28,1,NaN
3,2,36,5,34,30,21,37,9,23,19,21,13,20.83333333,23,1,NaN
3,37,50,10,26,45,6,34,25,2,16,15,48,26.16666667,1,0,NaN
3,38,29,47,50,10,35,40,37,42,7,30,36,33.41666667,17,1,NaN
3,17,27,39,3,30,34,19,38,49,13,7,4,23.33333333,32,1,NaN
3,2,38,24,38,15,40,18,33,29,3,43,44,27.25,14,1,NaN
3,34,24,12,48,21,17,32,13,2,38,44,47,27.66666667,32,0,NaN
3,50,16,24,42,1,37,14,26,31,47,50,41,31.58333333,24,1,NaN
3,33,16,47,50,32,21,8,4,36,8,38,11,25.33333333,16,0,NaN
3,38,21,4,43,38,14,4,30,25,30,24,24,24.58333333,5,0,NaN
3,34,33,8,36,43,29,12,24,31,16,1,1,22.33333333,29,0,NaN
3,5,13,8,19,24,6,37,33,18,27,24,22,19.66666667,9,0,NaN
3,35,44,10,20,2,21,1,50,27,29,50,18,25.58333333,22,0,NaN
3,10,29,30,49,42,36,5,43,3,47,17,9,26.66666667,39,0,NaN
3,31,18,43,12,50,43,33,44,34,13,9,49,31.58333333,3,1,NaN
3,34,15,28,8,34,42,48,27,8,21,14,7,23.83333333,45,1,NaN
3,11,39,50,14,10,30,3,50,3,7,33,12,21.83333333,31,0,NaN
3,8,22,13,26,41,8,15,18,31,42,19,30,22.75,26,0,NaN
3,2,35,7,5,34,6,2,45,14,3,40,50,20.25,8,0,NaN
3,46,38,43,32,27,45,14,18,33,24,27,29,31.33333333,9,0,NaN
3,1,7,6,34,39,15,41,18,7,10,15,7,16.66666667,13,0,NaN
3,28,32,26,42,12,4,5,13,31,42,16,4,21.25,10,0,NaN
3,38,14,34,5,39,27,12,27,8,32,16,13,22.08333333,42,1,NaN
