subject,singleFace,subjectFaceResponse
14,13,17.42407615
14,9,17.42407615
14,23,25.45463032
14,34,33.57592731
14,10,9.166666667
14,4,9.302777429
14,37,41.83333333
14,5,17.28796365
14,43,41.87870648
14,46,49.95463378
14,3,9.030555904
14,22,25.36389097
14,30,25.45463032
14,26,25.59074281
14,14,17.33333333
14,20,17.33333333
14,2,9.075925584
14,24,25.40926064
14,1,9.030555904
14,25,17.15185116
14,8,17.24259397
14,32,25.5
14,7,17.0611118
14,36,33.57592731
14,50,49.95463378
14,15,17.28796365
14,28,25.54536968
14,49,49.81852129
14,47,49.68240879
14,33,33.53055764
14,27,25.27314815
14,12,17.69629768
14,38,33.71203635
14,42,34.34722222
14,31,25.5
14,41,33.48518449
14,39,33.57592731
15,19,9.399979383
15,48,38.31493851
15,45,41.85489838
15,11,5.203962611
15,17,7.362585916
15,16,8.995833753
15,29,9.695164399
15,35,21.87866755
15,40,32.72344328
15,21,10.22482346
15,6,5.94634028
15,18,9.929382292
15,44,37.68333527
15,13,13.60395411
15,9,13.83293823
15,23,13.83293823
15,34,24.60012825
15,10,15.07982035
15,4,15.29929924
15,37,31.46398212
15,5,6.515077768
15,43,39.83234257
15,46,44.28008369
15,3,14.49002492
15,22,11.83585895
15,30,21.49563352
15,26,21.29051632
15,14,14.04851948
15,20,13.92972134
15,2,12.31414957
15,24,12.36166883
15,1,12.36166883
15,25,14.7356934
15,8,8.194366804
15,32,28.52728632
15,7,11.3711858
15,36,22.33121511
15,50,45.45282773
15,15,14.98126496
15,28,21.01596175
15,49,47.15615506
15,47,47.57332625
15,33,37.7813922
15,27,15.46104056
15,12,8.196514662
15,38,30.32932133
15,42,39.35586923
15,31,27.89777382
15,41,34.87066446
15,39,38.66843916
16,19,17.39713542
16,48,49.48958333
16,45,49.29817708
16,11,9.358072917
16,17,17.4609375
16,16,17.33333333
16,29,42.02473958
16,35,49.80859375
16,40,49.80859375
16,21,17.39713542
16,6,1.319010417
16,18,9.549479167
16,44,49.68098958
